,num_rooms,num_ratings,avg_rating,name
17864291,1.0,7.0,4.5,Virginia
17964797,1.0,0.0,0.0,José
18110657,1.0,28.0,5.0,Suzanne
18435473,2.0,5.0,2.0,Camilo
18464607,1.0,9.0,5.0,Sabine Et Patrick
18615972,3.0,30.0,5.0,Maurizio & Marcus
19032337,1.0,14.0,4.5,Tatiana
19092029,3.0,18.0,4.16666666667,Marian
19841109,1.0,7.0,4.0,Miguel
19878846,1.0,11.0,5.0,Christine
19999708,1.0,39.0,4.5,Francisca
20073587,2.0,10.0,1.75,Ramona
20447832,1.0,3.0,4.5,Villa Son Francoi
20545293,1.0,45.0,5.0,Mandy
20647803,2.0,64.0,5.0,Luis
20791271,3.0,145.0,4.66666666667,Bernd
20856982,1.0,43.0,4.5,Soledad
21113518,1.0,1.0,0.0,Silvia Y Gustavo
21127891,12.0,223.0,3.75,Gunnarsson & Partners
21469650,1.0,20.0,4.5,Peppe
22237473,6.0,93.0,4.58333333333,Federico (Fritz)
22294250,1.0,86.0,5.0,Esteve
22369606,5.0,676.0,4.5,Tim
22670510,1.0,23.0,5.0,Stella
22729017,1.0,0.0,0.0,Michelle
23584928,1.0,0.0,0.0,Maritza
23646097,1.0,0.0,0.0,Xavier
24154024,1.0,39.0,5.0,Martina
24177785,1.0,10.0,5.0,Carmen
24289398,2.0,118.0,4.5,Tina
24372660,1.0,0.0,0.0,Juan
24867990,2.0,141.0,4.5,Morena
25012565,1.0,38.0,5.0,Elvira
25055715,1.0,0.0,0.0,Laura
25890082,1.0,34.0,5.0,Sylvie
25939954,1.0,145.0,4.5,Maria
26302710,1.0,80.0,4.5,Jürgen
26738341,2.0,29.0,5.0,Michele & Gonzalo
26954256,3.0,10.0,1.33333333333,Francisco
27378546,3.0,87.0,4.83333333333,Xavi
27419141,1.0,0.0,0.0,Ana
27574429,1.0,9.0,4.5,Javier
28040096,1.0,28.0,4.5,Agnese
28164561,1.0,0.0,0.0,Giorgio Alberto
28206226,1.0,9.0,4.5,Ximena
28263223,8.0,38.0,2.8125,Sebastià
28335932,1.0,2.0,0.0,Isabel
28542832,2.0,24.0,2.25,Richard
28878884,1.0,69.0,5.0,Sabine
29024015,1.0,15.0,5.0,Guillermina
29521273,1.0,2.0,0.0,Nuria
30887991,2.0,1.0,0.0,Juan
30953575,1.0,0.0,0.0,Gesche
31099438,2.0,55.0,5.0,Matteo
31174270,2.0,29.0,2.5,Virginia
31196184,2.0,59.0,5.0,Miguel
31353591,1.0,96.0,4.5,Daiana
31654800,3.0,1.0,0.0,Alex
31773491,1.0,24.0,4.5,Carmina
31784329,1.0,73.0,4.5,Gustavo
32077071,1.0,79.0,4.5,Inmaculada
32182875,1.0,6.0,5.0,Monica
32409467,1.0,13.0,4.5,Andres
32690988,1.0,47.0,4.5,Ingrid
32747040,2.0,27.0,5.0,Rosa
33144019,1.0,25.0,5.0,Arturo Y Javier
33523826,4.0,95.0,3.625,Maria
34421888,1.0,5.0,5.0,Stefanie
34964635,16.0,3.0,0.0,Maria
35237030,3.0,11.0,1.33333333333,Margoth
35542014,5.0,18.0,2.0,Maria
35990662,2.0,83.0,4.5,Adam
36408992,5.0,240.0,3.6,Daniela
36421539,1.0,129.0,4.5,Ramon
36732867,1.0,5.0,4.0,Baligh
36864216,1.0,0.0,0.0,Haya
37299398,1.0,9.0,4.5,Lola
37414184,1.0,54.0,5.0,Antònia
37584279,2.0,5.0,2.0,Hiba
37954754,1.0,4.0,5.0,Jose Maria
38276665,2.0,30.0,2.25,Alvaro
38628456,2.0,39.0,3.75,César Y Tania
38830407,2.0,16.0,2.5,Vermieter
39002596,1.0,13.0,5.0,Rafael Y Ewa
40170768,1.0,49.0,5.0,Neus
40355260,1.0,0.0,0.0,María Isabel
40472612,1.0,22.0,5.0,Montse
40519869,1.0,50.0,4.5,María
41160596,1.0,0.0,0.0,Kathy
41727984,1.0,22.0,4.5,Santi
42181871,1.0,83.0,5.0,Imma
42461371,1.0,0.0,0.0,Ernesto Y Carlos
42741364,1.0,60.0,5.0,Tomeu
42940046,1.0,6.0,5.0,Jose Antonio
42957828,1.0,8.0,4.0,Cameron
43107215,3.0,46.0,3.33333333333,Marisa
43524322,1.0,63.0,4.5,Tito Y Maruja
44130212,1.0,36.0,5.0,Nena
44507066,1.0,9.0,5.0,Francis
44648406,1.0,0.0,0.0,Silvy
44986265,3.0,62.0,4.83333333333,Andrea
45084696,1.0,32.0,5.0,Pep
45275556,20.0,50.0,0.75,Caroline
45336606,4.0,262.0,4.25,Alice
46231584,1.0,0.0,0.0,Alexandra
46355794,5.0,1.0,0.0,Elmar
46628336,10.0,39.0,1.3,Dieter
48151498,2.0,0.0,0.0,Nima
48601638,1.0,14.0,4.5,Maria
49115049,1.0,26.0,5.0,Joan Antoni
49327174,1.0,4.0,4.5,Miguel
49637439,1.0,0.0,0.0,Marco
